market_id,사용가능상품권,공중화장실보유여부,주차장보유여부
MKT000872,,N,N
MKT000873,,Y,Y
MKT000874,,Y,N
MKT000875,,Y,N
MKT000876,,Y,Y
MKT000877,,Y,N
MKT000878,,Y,Y
MKT000879,,Y,Y
MKT000880,,Y,N
MKT000881,,Y,Y
MKT000882,,Y,Y
MKT000883,,Y,Y
MKT000884,,Y,N
MKT000885,,Y,Y
MKT000886,,Y,Y
MKT000887,,Y,Y
MKT000888,,N,Y
MKT000889,,Y,Y
MKT000890,,Y,Y
MKT000891,,Y,N
MKT000892,,Y,Y
MKT000893,,Y,Y
MKT000894,,Y,Y
MKT000895,,Y,N
MKT000896,,Y,Y
MKT000897,,Y,Y
MKT000898,,Y,Y
MKT000899,,Y,Y
MKT000900,,Y,Y
MKT000901,,Y,N
MKT000902,,Y,Y
MKT000903,,Y,Y
MKT000904,,Y,Y
MKT000905,,Y,Y
MKT000906,,Y,Y
MKT000907,,Y,Y
MKT000908,,Y,Y
MKT000909,,Y,Y
MKT000910,,Y,Y
MKT000911,,Y,Y
MKT000912,,Y,N
MKT000913,,Y,Y
MKT000914,,Y,N
MKT000915,,Y,Y
MKT000916,,Y,Y
MKT000917,,Y,Y
MKT000918,,Y,Y
MKT000919,,Y,Y
MKT000920,,Y,Y
MKT000921,,Y,Y
MKT000922,,Y,Y
MKT000923,,Y,Y
MKT000924,,Y,Y
MKT000925,,Y,Y
MKT000926,,Y,N
MKT000927,,Y,Y
MKT000928,,Y,Y
MKT000929,,Y,N
MKT000930,,Y,Y
MKT000931,,Y,N
MKT000932,,Y,N
MKT000933,,Y,N
MKT000934,,Y,N
MKT000935,,Y,N
MKT000936,,Y,Y
MKT000937,,Y,N
MKT000938,,Y,N
MKT000939,,Y,Y
MKT000940,,Y,Y
MKT000941,,Y,Y
MKT000942,,Y,Y
MKT000943,,N,N
MKT000944,,Y,N
MKT000945,,Y,Y
MKT000946,,Y,Y
MKT000947,,Y,Y
MKT000948,,Y,Y
MKT000949,,Y,Y
MKT000950,,Y,Y
MKT000951,,Y,Y
MKT000952,,Y,Y
MKT000953,,Y,Y
MKT000954,,Y,N
MKT000955,,Y,Y
MKT000956,,Y,Y
MKT000957,,Y,Y
MKT000958,,Y,Y
MKT000959,,Y,Y
MKT000960,,Y,Y
MKT000961,,Y,Y
MKT000962,,Y,Y
MKT000963,,Y,Y
MKT000964,,Y,Y
MKT000965,,Y,Y
MKT000966,,Y,N
MKT000967,,Y,Y
MKT000968,,Y,N
MKT000969,,Y,N
MKT000970,,Y,N
MKT000971,,N,N
MKT000972,,Y,Y
MKT000973,,Y,N
MKT000974,,Y,Y
MKT000975,,Y,Y
MKT000976,,Y,Y
MKT000977,,Y,Y
MKT000978,,Y,N
MKT000979,,Y,Y
MKT000980,,Y,Y
MKT000981,,Y,N
MKT000982,,Y,Y
MKT000983,,Y,Y
MKT000984,,Y,Y
MKT000985,,Y,N
MKT000986,,Y,N
MKT000987,,Y,N
MKT000988,,Y,Y
MKT000989,,N,N
MKT000990,,N,N
MKT000991,,Y,Y
MKT000992,,Y,N
MKT000993,,Y,Y
MKT000994,,Y,Y
MKT000995,,Y,N
MKT000996,,Y,Y
MKT000997,,Y,Y
MKT000998,,Y,Y
MKT000999,,Y,Y
MKT001000,,Y,Y
MKT001001,,N,N
MKT001002,,Y,Y
MKT001003,,N,N
MKT001004,,Y,Y
MKT001005,,Y,N
MKT001006,,Y,N
MKT001007,,Y,N
MKT001008,,Y,Y
MKT001009,,Y,Y
MKT001010,,Y,Y
MKT001011,,Y,Y
MKT001012,,Y,N
MKT001013,,Y,Y
MKT001014,,Y,Y
MKT001015,,Y,Y
MKT001016,,Y,N
MKT001017,,Y,Y
MKT001018,,Y,Y
MKT001019,,Y,Y
MKT001020,,Y,Y
MKT001021,,Y,Y
MKT001022,,N,N
MKT001023,,N,Y
MKT001024,,Y,Y
MKT001025,,Y,Y
MKT001026,,Y,N
MKT001027,,N,N
MKT001028,,Y,Y
MKT001029,,Y,Y
MKT001030,,Y,Y
MKT001031,,Y,Y
MKT001032,,Y,Y
MKT001033,,Y,N
MKT001034,,Y,N
MKT001035,,Y,N
MKT001036,,Y,Y
MKT001037,,Y,Y
MKT001038,,Y,Y
MKT001039,,Y,N
MKT001040,,Y,Y
MKT001041,,Y,Y
MKT001042,,Y,N
MKT001043,,Y,Y
MKT001044,,Y,Y
MKT001045,,Y,Y
MKT001046,,Y,Y
MKT001047,,Y,Y
MKT001048,,Y,Y
MKT001049,,Y,N
MKT001050,,Y,Y
MKT001051,,N,N
MKT001052,,Y,N
MKT001053,,N,N
MKT001054,,Y,N
MKT001055,,Y,N
MKT001056,,Y,Y
MKT001057,,N,N
MKT001058,,Y,Y
MKT001059,,Y,Y
MKT001060,,N,Y
MKT001061,,Y,Y
MKT001062,,N,N
MKT001063,,Y,Y
MKT001064,,Y,N
MKT001065,,Y,Y
MKT001066,,Y,Y
MKT001067,,Y,Y
MKT001068,,Y,Y
MKT001069,,N,N
MKT001070,,Y,Y
MKT001071,,Y,N
MKT001072,,Y,Y
MKT001073,,Y,Y
MKT001074,,Y,Y
MKT001075,,N,N
MKT001076,,Y,Y
MKT001077,,Y,N
MKT001078,,Y,N
MKT001079,,Y,Y
MKT001080,,Y,Y
MKT001081,,Y,N
MKT001082,,Y,Y
MKT001083,,Y,Y
MKT001084,,Y,Y
MKT001085,,Y,Y
MKT001086,,Y,N
