관광지ID,업소명,분류,맛집시도,맛집시군구,현지인순위,외지인순위,원본맛집파일,표준시도,표준시군구,표준구
815407e8fe45a956280faa1e165af28b,명가돌솥쌈밥,한식,부산광역시,사하구,85.0,93.0,사하구_현지인외지인맛집_최종.csv,부산광역시,사하구,
815412751363bc09ca6860eae4f470b8,송정돌짬뽕[중식],외국식,부산광역시,해운대구,,74.0,해운대구_현지인외지인맛집_최종.csv,부산광역시,해운대구,
815c600a3fe8a7377bddd8de3da9bdc4,울진후포항,전문음식,경기도,성남시 분당구,,97.0,성남시+분당구_현지인외지인맛집_최종.csv,경기도,성남시,분당구
81617442441598038c38ac8fed57f924,태기산막국수,한식,강원특별자치도,원주시,80.0,47.0,원주시_현지인외지인맛집_최종.csv,강원특별자치도,원주시,
8161cafbb0df1bc137fdcfc7bbf24818,상촌단팥빵카페,카페/찻집,충청북도,옥천군,,100.0,옥천군_현지인외지인맛집_최종.csv,충청북도,옥천군,
8166ac1374d9ee0a5218b013451b3f96,오복찐빵,간이음식,경상북도,문경시,60.0,58.0,문경시_현지인외지인맛집_최종.csv,경상북도,문경시,
816833830d3d2520a327e8f6800baaf0,쏘렌토서오릉점,외국식,경기도,고양시 덕양구,,92.0,고양시+덕양구_현지인외지인맛집_최종.csv,경기도,고양시,덕양구
816afa5d055d2c587e51267f65f6c7c5,고반한우,한식,전북특별자치도,고창군,20.0,45.0,고창군_현지인외지인맛집_최종.csv,전북특별자치도,고창군,
817861ef87ca7ad7ab80dae669f290ad,짹짹커피포항송도점,카페/찻집,경상북도,포항시 남구,73.0,30.0,포항시+남구_현지인외지인맛집_최종.csv,경상북도,포항시,남구
81821b4eb5c4d1731fa0582e37427ffd,수일억조횟집,전문음식,전라남도,보성군,71.0,65.0,보성군_현지인외지인맛집_최종.csv,전라남도,보성군,
818e9d4d6ba25f9938b1d8baf79304eb,차차룸,전문음식,광주광역시,북구,73.0,94.0,북구_현지인외지인맛집_최종.csv,광주광역시,북구,
8199fff6f4dfc2bfca6dc12aac0f55c7,훗스테이크이천점,전문음식,경기도,이천시,15.0,,이천시_현지인외지인맛집_최종.csv,경기도,이천시,
81a7ac36ccab4ba0375afaa721c9224e,곤드레향기,한식,경기도,화성시 동탄구,45.0,21.0,화성시+동탄구_현지인외지인맛집_최종.csv,경기도,화성시,동탄구
81b1252f87a4ad514d0d574220779be7,포레스트아웃팅스송도점,카페/찻집,인천광역시,연수구,2.0,1.0,연수구_현지인외지인맛집_최종.csv,인천광역시,연수구,
81b20f0a90b6f0eebba92d85b83ab10e,지산밥상,한식,전라남도,영광군,80.0,89.0,영광군_현지인외지인맛집_최종.csv,전라남도,영광군,
81b2f3de18b69a44168fc3817fcc15fa,트로피,전문음식,부산광역시,동구,60.0,60.0,동구_현지인외지인맛집_최종.csv,부산광역시,동구,
81b3d5b6cf81cadb12b3b42acb271fb2,길손물텀벙,한식,인천광역시,미추홀구,,67.0,미추홀구_현지인외지인맛집_최종.csv,인천광역시,미추홀구,
81b4bac7579b6f6df93769f33f8a76a4,삼동소바화성융건릉점,외국식,경기도,화성시 병점구,81.0,54.0,화성시+병점구_현지인외지인맛집_최종.csv,경기도,화성시,병점구
81b528c4176a4ad3320ef1718d9f90de,그담애,카페/찻집,경상남도,합천군,33.0,25.0,합천군_현지인외지인맛집_최종.csv,경상남도,합천군,
81b89851eb1138edade8a7e1e54747a4,수가성서충주점,한식,충청북도,충주시,78.0,37.0,충주시_현지인외지인맛집_최종.csv,충청북도,충주시,
81bcc843c7566a12949d09015890e04e,설원칡냉면단양점,한식,충청북도,단양군,46.0,67.0,단양군_현지인외지인맛집_최종.csv,충청북도,단양군,
81be8bf191b5ab12e5a705e1f0217bcd,떡바우횟집,전문음식,울산광역시,울주군,23.0,18.0,울주군_현지인외지인맛집_최종.csv,울산광역시,울주군,
81bf9266729a479c86fa1871973ba0f3,회동집,한식,강원특별자치도,정선군,3.0,2.0,정선군_현지인외지인맛집_최종.csv,강원특별자치도,정선군,
81bf93f713ebb895baec756e26ef3447,파라글로우,카페/찻집,경상북도,경산시,70.0,,경산시_현지인외지인맛집_최종.csv,경상북도,경산시,
81c6bc48274699b3d17afe2bbdbfb09f,쌈도둑,한식,경기도,안양시 만안구,1.0,1.0,안양시+만안구_현지인외지인맛집_최종.csv,경기도,안양시,만안구
81caa264b3507f101fbe19f7d62a7da6,삼동소바하남미사점,외국식,경기도,하남시,42.0,86.0,하남시_현지인외지인맛집_최종.csv,경기도,하남시,
81cc2ab9894cf2721f960264bd190af9,착한낙지대구두류점,전문음식,대구광역시,달서구,90.0,62.0,달서구_현지인외지인맛집_최종.csv,대구광역시,달서구,
81ce8444ca47a9d46be232fc63a7cdc2,대성식당,한식,대구광역시,군위군,,86.0,군위군_현지인외지인맛집_최종.csv,대구광역시,군위군,
81d16b8b4f9c52de2ff79e473ae5890a,만승제면소,한식,충청북도,청주시 서원구,38.0,40.0,청주시+서원구_현지인외지인맛집_최종.csv,충청북도,청주시,서원구
81d79d778c2c27446cec434ad03a4a76,산타마을조고집,한식,경상북도,봉화군,86.0,48.0,봉화군_현지인외지인맛집_최종.csv,경상북도,봉화군,
81d9e7663b9fbcc695ccd2b1a95b6c3c,그랑독,카페/찻집,부산광역시,강서구,60.0,14.0,강서구_현지인외지인맛집_최종.csv,부산광역시,강서구,
81da4a2d64c1879de37bffdb3a3f3051,문장대식육식당,한식,경상북도,상주시,,65.0,상주시_현지인외지인맛집_최종.csv,경상북도,상주시,
