시도,시군구,데이터개월수,시작년월,종료년월,데이터구분,신뢰도,최근월방문자수,최근3개월평균방문자수,직전3개월평균방문자수,최근3개월증가율,월평균추세기울기,상대추세기울기,최근3개월전년대비증감률,최근증가점수,장기추세점수,전년대비성장점수,로컬발견가능성,최근월증가율,최근월전년대비증감률,단기증가점수,단기전년대비점수,단기임시점수
경상북도,영주시,2,202607,202608,2개월,낮음,833612.0,,,,,,,,,,,10.371837579904565,-0.4,47.37890669287221,81.77339901477832,64.58
경상북도,영천시,2,202607,202608,2개월,낮음,1139915.0,,,,,,,,,,,5.072523882737694,-6.6,34.42365706355267,76.68308702791462,55.55
경상북도,예천군,2,202607,202608,2개월,낮음,587930.0,,,,,,,,,,,6.1498407562812805,-4.4,37.05737716849699,78.48932676518882,57.77
경상북도,울릉군,2,202607,202608,2개월,낮음,158312.0,,,,,,,,,,,26.895269241251064,-25.4,87.77379443469245,61.247947454843995,74.51
경상북도,울진군,2,202607,202608,2개월,낮음,995435.0,,,,,,,,,,,30.701408857551765,-3.2,97.07867647622547,79.47454844006569,88.28
경상북도,의성군,2,202607,202608,2개월,낮음,573898.0,,,,,,,,,,,6.1143057892498565,-4.9,36.97050471769117,78.07881773399015,57.52
경상북도,청도군,2,202607,202608,2개월,낮음,991638.0,,,,,,,,,,,10.299407591636431,-7.3,47.201836862270554,76.10837438423646,61.66
경상북도,청송군,2,202607,202608,2개월,낮음,452088.0,,,,,,,,,,,13.5431631187149,-1.4,55.13185667073242,80.95238095238095,68.04
경상북도,칠곡군,2,202607,202608,2개월,낮음,1964050.0,,,,,,,,,,,2.5630179914139606,-4.2,28.28865975517889,78.65353037766832,53.47
경상북도,포항시,2,202607,202608,2개월,낮음,5238132.0,,,,,,,,,,,6.216014976121262,-1.6,37.2191535014419,80.78817733990148,59.0
경상북도,포항시+남구,2,202607,202608,2개월,낮음,2764156.0,,,,,,,,,,,3.633102533993789,-3.0,30.904698956822962,79.63875205254516,55.27
경상북도,포항시+북구,2,202607,202608,2개월,낮음,3086433.0,,,,,,,,,,,10.22919885400573,0.4,47.03019733040977,82.43021346469624,64.73
광주광역시,광산구,2,202607,202608,2개월,낮음,4295540.0,,,,,,,,,,,1.6383365209134515,-1.6,26.02808792219892,80.78817733990148,53.41
광주광역시,남구,2,202607,202608,2개월,낮음,1712728.0,,,,,,,,,,,-0.7552605747490094,-5.5,20.176453227898815,77.58620689655173,48.88
광주광역시,동구,2,202607,202608,2개월,낮음,3001950.0,,,,,,,,,,,2.907617107356509,1.8,29.131102347597093,83.57963875205255,56.36
광주광역시,북구,2,202607,202608,2개월,낮음,4338355.0,,,,,,,,,,,0.5809943442310345,0.1,23.44320002438451,82.183908045977,52.81
광주광역시,서구,2,202607,202608,2개월,낮음,4595154.0,,,,,,,,,,,-0.40696317305135254,-4.1,21.027937031669275,78.73563218390805,49.88
대구광역시,군위군,12,202509,202608,12개월,높음,689374.0,642099.6666666666,651435.3333333334,-1.4330918494851999,-5308.094405594358,-0.8175735771318138,-6.900000000000001,29.82550986175765,21.956238963382336,4.891815616180615,19.98,,,,,
대구광역시,남구,12,202509,202608,12개월,높음,2258662.0,2258997.0,2436224.0,-7.274659473020543,-5050.293706293681,-0.21744561780896657,0.4333333333333333,22.81553882624913,30.399094100035544,25.58795860771401,25.92,,,,,
대구광역시,달서구,12,202509,202608,12개월,높음,4581619.0,4520852.333333333,4839120.666666667,-6.576986920902033,-34070.81118881122,-0.7198148425260911,-3.4,23.65275662424497,23.331550381217195,14.7695202257761,20.89,,,,,
대구광역시,달성군,12,202509,202608,12개월,높음,2616208.0,2535946.0,2761506.0,-8.168006877406748,-1597.3916083916267,-0.061228560486581665,-4.933333333333334,21.743508194580432,32.5968220418154,10.442144873000938,21.61,,,,,
대구광역시,동구,12,202509,202608,12개월,높음,5710372.0,5514268.666666667,5775598.666666667,-4.5247257484880645,-11796.76923076924,-0.2084588170616181,-0.8666666666666667,26.115501610361218,30.52552423159856,21.919096895578548,26.18,,,,,
대구광역시,북구,12,202509,202608,12개월,높음,4583572.0,4412183.0,4609047.333333333,-4.271258659237022,-39552.11538461549,-0.8633066419514902,-1.3333333333333333,26.419666017693572,21.31284677471748,20.60206961429915,23.14,,,,,
